Emoji,ASCII Code,Hex Color
🏾,127998,#b59782
🔌,128268,#b5b4b1
🪦,129702,#b5b5b3
👽,128125,#b5bebf
👖,128086,#b5bed7
🏪,127978,#b5c2bd
🛣,128739,#b5c3ab
🤢,129314,#b5c766
🚿,128703,#b5cdcf
🥒,129362,#b5d09d
🧩,129513,#b5d4a9
🩲,129650,#b5d6b4
🐬,128044,#b5dde7
🛐,128720,#b671c9
🤎,129294,#b6967f
🪵,129717,#b6a395
🦫,129451,#b6a495
🎭,127917,#b6a7a2
🦦,129446,#b6aca2
🚴,128692,#b6b1a5
⬆,11014,#b6b6b6
🛤,128740,#b6b7a3
📚,128218,#b6b7a7
🪮,129710,#b6b7b7
💺,128186,#b6bbc9
🚞,128670,#b6bda5
🧊,129482,#b6d5e8
🌿,127807,#b6d69f
🥌,129356,#b79798
🚖,128662,#b7af95
♥,9829,#b7b7b7
🛠,128736,#b7b8ba
💤,128164,#b7cbea
🧼,129532,#b7e6d2
🏘,127960,#b8a69f
◼,9724,#b8b8b8
🔉,128265,#b8bdbf
🚺,128698,#b977cc
👹,128121,#b9796f
🎴,127924,#b9a19e
🩶,129654,#b9b9b9
📂,128194,#b9c0c6
🛼,128764,#b9cfd0
🦕,129429,#b9d1d8
💠,128160,#b9daed
♈,9800,#ba78cc
♉,9801,#ba79cc
📵,128245,#ba897f
🚥,128677,#bab7ae
🪻,129723,#bab9ce
🐺,128058,#bababa
🔈,128264,#babbbd
🎚,127898,#babcbd
🌐,127760,#badfec
♓,9811,#bb7acd
♋,9803,#bb7ccd
🧱,129521,#bb8777
🐞,128030,#bba094
🧕,129493,#bbadaf
📻,128251,#bbb097
🦓,129427,#bbb9b7
🗿,128511,#bbbbb6
⏭,9197,#bbbbbb
🏍,127949,#bbbdbd
📁,128193,#bbc1c6
🗣,128483,#bbcad8
🌵,127797,#bbd5a8
💎,128142,#bbe0fa
♏,9807,#bc7dcd
🔯,128303,#bc7ecd
🪗,129687,#bc9a9f
🏥,127973,#bcb2b1
🌽,127805,#bcba6e
📇,128199,#bcbab5
🗳,128499,#bcd6da
🧃,129475,#bcd8c4
🟣,128995,#bd66f4
♊,9802,#bd7ece
♌,9804,#bd7fce
♎,9806,#bd80ce
🚳,128691,#bd887b
🦧,129447,#bd8d76
📆,128198,#bda7a7
🧬,129516,#bdbadf
🛒,128722,#bdbbbc
⏏,9167,#bdbdbd
🎵,127925,#bdbec0
🪩,129705,#bdbfc1
🚋,128651,#bdc1ba
👤,128100,#bdcedc
🚘,128664,#be9092
📦,128230,#bea389
🎎,127886,#beb0b5
🍵,127861,#bebfb4
🐘,128024,#bebfbd
🐦,128038,#becacb
🦖,129430,#becda3
🐟,128031,#becedd
🌴,127796,#bed0a7
🎿,127935,#bed0c7
🩴,129652,#bed8d6
♍,9805,#bf83cf
🕎,128334,#bf85cf
🦹,129465,#bf9f78
🥙,129369,#bfb595
👁,128065,#bfb5ae
⛰,9968,#bfbfbf
🎙,127897,#bfc1c4
🏦,127974,#bfc2ad
🪁,129665,#bfc6e0
💧,128167,#bfe6f8
🚂,128642,#c0a7a1
🕹,128377,#c0abad
🦪,129450,#c0b8ad
🎳,127923,#c0bbb9
🚦,128678,#c0bdb4
⏹,9209,#c0c0c0
🐲,128050,#c0c781
🛋,128715,#c0d2e5
⛎,9934,#c187d1
🛢,128738,#c19696
🕰,128368,#c1aea0
🚧,128679,#c1b281
🧗,129495,#c1b4a4
🕵,128373,#c1b69a
🐀,128000,#c1bdb8
⏯,9199,#c1c1c1
📥,128229,#c1c8db
📤,128228,#c1c9dc
🛶,128758,#c1cab6
🚭,128685,#c28e81
🔇,128263,#c2a5a6
🏟,127967,#c2ada3
🧙,129497,#c2bca2
👮,128110,#c2bea6
🐎,128014,#c2c0b4
✒,10002,#c2c2c2
🏡,127969,#c2c3a6
🐢,128034,#c2cfb7
🔫,128299,#c2edb6
🚷,128695,#c38b7d
🥭,129389,#c3b074
🧉,129481,#c3b2aa
🏤,127972,#c3b6a4
🏂,127938,#c3bdbb
🏛,127963,#c3beaf
💴,128180,#c3c2b7
🎤,127908,#c3c4c4
🥝,129373,#c3c686
🚱,128689,#c48d80
🫘,129752,#c4a09e
🎉,127881,#c4a99c
🪹,129721,#c4b0a2
🥀,129344,#c4b1a7
🧆,129478,#c4bbad
🍙,127833,#c4c3bc
🦏,129423,#c4c3c1
⛈,9928,#c4c4c4
☔,9748,#c4c6ef
🐉,128009,#c4d1aa
🎄,127876,#c4d2bc
📕,128213,#c57b79
💟,128159,#c590d4
🚯,128687,#c59287
🪯,129711,#c594d0
🚪,128682,#c5a796
📅,128197,#c5abaa
📜,128220,#c5ac92
💐,128144,#c5b188
🎞,127902,#c5b7a0
🥥,129381,#c5b7a5
🦔,129428,#c5b8ac
🪺,129722,#c5beb3
😰,128560,#c5c1a7
☂,9730,#c5c5c5
🦈,129416,#c5cdce
💶,128182,#c5d5c9
🍇,127815,#c68ba0
👞,128094,#c6aba2
🍆,127814,#c6b6c1
😹,128569,#c6c096
🪴,129716,#c6c5a3
🛹,128761,#c6c6bb
➡,10145,#c6c6c6
🎶,127926,#c6c8ca
🚲,128690,#c6cbd1
🚃,128643,#c6ccad
📖,128214,#c6cfd6
🎰,127920,#c7b2ab
🫎,129742,#c7b3a7
🦉,129417,#c7bab0
🚑,128657,#c7bbbf
🚕,128661,#c7c099
🫏,129743,#c7c6c5
🎲,127922,#c7c6c6
🕷,128375,#c7c6c7
✔,10004,#c7c7c7
🗜,128476,#c7cccf
🥣,129379,#c7d7eb
🟪,129002,#c85dff
🔮,128302,#c89fc7
🏭,127981,#c8ad9f
🐌,128012,#c8b29c
🪰,129712,#c8b29e
🙆,128582,#c8b890
🐴,128052,#c8bfac
🛌,128716,#c8c0bf
🏋,127947,#c8c1ad
🦝,129437,#c8c4bd
♨,9832,#c8c8c8
🩺,129658,#c8c8c9
🔦,128294,#c8caca
🌪,127786,#c8cad1
🎣,127907,#c8d0d8
👒,128082,#c8d1a6
🚒,128658,#c97c7c
🧶,129526,#c9805a
🔞,128286,#c99588
🌆,127750,#c99873
🦡,129441,#c9c7c4
⚰,9904,#c9c9c9
🦺,129466,#ca946d
🛎,128718,#cab88b
🏚,127962,#cab9a5
🦗,129431,#cac0b5
🏇,127943,#cac3be
🧞,129502,#cac6d5
🦆,129414,#cac8c3
🦛,129435,#cacac9
☹,9785,#cacaca
🚅,128645,#caced1
🏽,127997,#cbaf9a
🏠,127968,#cbb8ab
📣,128227,#cbbb8e
🏕,127957,#cbbda7
🪐,129680,#cbc5ac
☕,9749,#cbc8c3
♦,9830,#cbcbcb
🧷,129527,#cbcfd3
🫛,129755,#cbd6c0
🐠,128032,#cbddbe
🧪,129514,#cbe4d0
🥔,129364,#ccaf8c
🎡,127905,#ccb0b6
🕍,128333,#ccb59a
🚀,128640,#ccb5ae
😨,128552,#ccbf9d
🌂,127746,#ccc2d9
🪶,129718,#ccc6be
💳,128179,#ccc9b4
🐄,128004,#ccc9c7
☀,9728,#cccccc
🥽,129405,#cccece
📡,128225,#ccced0
🍽,127869,#ccced1
⛄,9924,#cccfd0
🚄,128644,#ccd1d4
🌊,127754,#ccdde6
🏈,127944,#cd9a81
🫕,129749,#cda9a4
🤠,129312,#cdb481
🔔,128276,#cdbc8b
💷,128183,#cdbfc1
🪟,129695,#cdc1be
🎋,127883,#cdc8ab
📠,128224,#cdcac5
➕,10133,#cdcdcd
🦜,129436,#cdd0ab
📨,128232,#cdd3d9
📉,128201,#cdd9e7
👜,128092,#ceb4a3
🙉,128585,#ceb89b
🐒,128018,#cebba3
🎏,127887,#cec0b3
🪇,129671,#cec2a6
🧜,129500,#cec3ba
🤮,129326,#cec973
🧭,129517,#cecbce
®,174,#cecece
🌁,127745,#ced6de
🥮,129390,#cf8c5a
⛽,9981,#cf9497
👅,128069,#cf9ca5
🥜,129372,#cfb388
🥸,129400,#cfb476
👬,128108,#cfba9f
🛟,128735,#cfbab1
💩,128169,#cfbdb1
🤹,129337,#cfc7ac
🐭,128045,#cfc9ce
🗞,128478,#cfcece
🍐,127824,#cfd094
📢,128226,#cfd0d1
👓,128083,#cfd3d1
🛩,128745,#cfd3d7
🔕,128277,#d0a47e
💃,128131,#d0a995
🐵,128053,#d0ba9f
🎻,127931,#d0bdad
😱,128561,#d0c1a5
👻,128123,#d0cbce
🚡,128673,#d0cebe
🍭,127853,#d0cec1
🦽,129469,#d0d0d0
🐍,128013,#d0d7b8
🐋,128011,#d0dfe5
💜,128156,#d190f7
🐙,128025,#d1919b
🚚,128666,#d1a47c
🍪,127850,#d1b18b
🧯,129519,#d1b8b7
🐂,128002,#d1beb1
🛏,128719,#d1c8c7
🥑,129361,#d1cb9a
🐛,128027,#d1d0b1
☸,9784,#d1d1d1
🖊,128394,#d1d2d4
🎢,127906,#d1d4ba
🛸,128760,#d1d8d9
🍃,127811,#d1dfbf
🧚,129498,#d1e4c8
🧰,129520,#d28886
🥃,129347,#d2b89d
🌈,127752,#d2b8a6
🧸,129528,#d2b996
🏺,127994,#d2baab
💸,128184,#d2cfbf
🪅,129669,#d2d0c3
⏸,9208,#d2d2d2
🔩,128297,#d2d3d6
🔬,128300,#d2d6d8
⛲,9970,#d2dedf
👺,128122,#d3958f
🤬,129324,#d3a178
🍒,127826,#d3a9a0
🛷,128759,#d3a9a8
🪔,129684,#d3afa4
🪤,129700,#d3ba9c
🌯,127791,#d3ccc3
🪷,129719,#d3cec0
©,169,#d3d3d3
🍲,127858,#d3d4cb
🖌,128396,#d3d4e0
🫃,129731,#d3d6d1
🦎,129422,#d3e2cf
🪭,129709,#d48991
🎁,127873,#d48b5d
🚢,128674,#d4bfbb
😇,128519,#d4c187
👯,128111,#d4c29a
🌋,127755,#d4c5b9
🌔,127764,#d4c77b
🐚,128026,#d4cdcd
🦼,129468,#d4d0d0
🐏,128015,#d4d1ca
✂,9986,#d4d4d4
🔨,128296,#d4d4d5
💨,128168,#d4dfeb
🧨,129512,#d5857e
👠,128096,#d5a8a3
📙,128217,#d5a968
🦂,129410,#d5bda1
👪,128106,#d5be87
📿,128255,#d5c1c2
🕺,128378,#d5c3cc
🐯,128047,#d5c783
🎠,127904,#d5ccc2
🐐,128016,#d5cdc4
💵,128181,#d5cfb5
🧻,129531,#d5d3cd
☘,9752,#d5d5d5
🖋,128395,#d5d6d7
🔗,128279,#d5d6d9
🛥,128741,#d5dcdf
🛬,128748,#d5dde7
🎾,127934,#d5e370
🌹,127801,#d68d89
🏀,127936,#d6966f
🦑,129425,#d69a8f
🍓,127827,#d69c91
🚗,128663,#d6a09f
🌅,127749,#d6aa86
🏨,127976,#d6b9a9
😎,128526,#d6ba79
🧫,129515,#d6becb
🙈,128584,#d6c0a8
🙊,128586,#d6c1a8
😿,128575,#d6c68f
🤱,129329,#d6c8ab
🔐,128272,#d6c99e
🍋,127819,#d6ca80
🧦,129510,#d6cec4
🛳,128755,#d6cfd1
🪪,129706,#d6d2ca
🦭,129453,#d6d5d4
⚓,9875,#d6d6d8
🥿,129407,#d6dce4
🍔,127828,#d7a976
🏩,127977,#d7adbe
🪂,129666,#d7b7a4
🥉,129353,#d7b9aa
🥠,129376,#d7bf98
👫,128107,#d7bf9c
😸,128568,#d7c087
🎨,127912,#d7c097
🐕,128021,#d7c1ab
🀄,126980,#d7c2b5
🙇,128583,#d7c7a1
🌖,127766,#d7c876
🏣,127971,#d7c8ba
🛵,128757,#d7caab
⏳,9203,#d7d0ca
🗝,128477,#d7d6d6
⁉,8265,#d7d7d7
🫖,129750,#d7dadd
🏔,127956,#d7dbd6
🍅,127813,#d88a6c
😺,128570,#d8c189
🌻,127803,#d8c272
🪘,129688,#d8cabb
💈,128136,#d8cadc
🚏,128655,#d8d6d9
⏱,9201,#d8d8d8
🔍,128269,#d8d9db
💀,128128,#d8dadb
🛴,128756,#d8dadc
🖇,128391,#d8dadd
🏝,127965,#d8dfc0
🌺,127802,#d97581
🦀,129408,#d9927f
🦊,129418,#d9a16d
🦁,129409,#d9ab66
🤼,129340,#d9bf92
😾,128574,#d9c184
🙀,128576,#d9c38c
🌮,127790,#d9c58d
🪑,129681,#d9c5bb
🦤,129444,#d9c6b5
🚸,128696,#d9c87f
🐶,128054,#d9cab7
💰,128176,#d9cbae
👑,128081,#d9cc95
⚾,9918,#d9ceca
📀,128192,#d9d0b1
🥡,129377,#d9d5d6
🚬,128684,#d9d7d5
🐑,128017,#d9d8d2
🍚,127834,#d9d8d5
📃,128195,#d9d8d8
💿,128191,#d9d9d7
✏,9999,#d9d9d9
🔧,128295,#d9d9db
📑,128209,#d9dadc
🌱,127793,#d9ecc4
🥊,129354,#daa0a1
🍠,127840,#daa9a6
🍁,127809,#daac94
👄,128068,#daaeb8
🏉,127945,#dab37d
🍞,127838,#dabd93
🎯,127919,#dabfbf
🗓,128467,#dacece
🏫,127979,#dad1c1
⌛,8987,#dad3ce
🍍,127821,#dad4b7
📋,128203,#dad5ce
⛪,9962,#dad5d7
👀,128064,#dad6d1
🔒,128274,#dad9c6
👟,128095,#dad9d8
⌨,9000,#dadada
🥍,129357,#dadde0
🗻,128507,#dadde1
🌇,127751,#dba373
🏮,127982,#dba38e
🍖,127830,#dbb5a5
👲,128114,#dbc190
🦄,129412,#dbc1e4
😼,128572,#dbc385
🐡,128033,#dbc39a
🍺,127866,#dbc4a9
🪳,129715,#dbc5c2
🚁,128641,#dbc6c7
🧄,129476,#dbc9bf
😭,128557,#dbca90
📈,128200,#dbd3d9
🥈,129352,#dbd7da
🔓,128275,#dbdac9
🇲,127474,#dbdbdb
🍈,127816,#dbdcbb
🚰,128688,#dbe0e3
📧,128231,#dbe0e5
🛫,128747,#dbe2eb
🗽,128509,#dbe9e7
🦞,129438,#dc988a
😻,128571,#dcb581
⏰,9200,#dcb7b8
🪸,129720,#dcc0b3
🏆,127942,#dcc18c
😂,128514,#dcca8a
🦌,129420,#dcd0c4
🤷,129335,#dcd1b5
🤺,129338,#dcdad7
🫧,129767,#dcdbdd
⏲,9202,#dcdcdc
🟥,128997,#dd5143
🔴,128308,#dd5d5c
🧅,129477,#ddb493
💒,128146,#ddbccd
🍂,127810,#ddbd9d
🐫,128043,#ddc8b8
🛡,128737,#ddcac7
🪆,129670,#ddcbb1
🎺,127930,#ddd5b6
🍾,127870,#ddddcf
↔,8596,#dddddd
🕐,128336,#dddedf
🍴,127860,#dddfe2
📎,128206,#dde1e5
📐,128208,#dde3ea
🍎,127822,#de8981
🥓,129363,#dea895
🥨,129384,#deb195
🥐,129360,#deb271
🐽,128061,#deb5be
🤡,129313,#deb6a9
👭,128109,#dec299
✍,9997,#dec593
🏼,127996,#dec7b2
🍗,127831,#decabb
🪓,129683,#decac5
👰,128112,#decb9c
🐅,128005,#deccbc
🐮,128046,#ded6cf
🐰,128048,#ded8d8
🎫,127915,#dedaa8
🥋,129355,#dedcdc
🥎,129358,#dede69
‼,8252,#dedede
🏳,127987,#dedfdf
🕛,128347,#dedfe0
🗒,128466,#dee1e3
🥳,129395,#dfba77
🦸,129464,#dfc09d
😽,128573,#dfc285
🐪,128042,#dfcdbc
👝,128093,#dfcfbe
🦮,129454,#dfd1b9
🪜,129692,#dfd3c7
🫓,129747,#dfd8cc
🃏,127183,#dfdbd6
🧂,129474,#dfdfde
#,35,#dfdfdf
📏,128207,#dfe5ec
🪡,129697,#dfe9ef
🌧,127783,#dfe9f1
🎒,127890,#e09592
🤰,129328,#e0c6be
🍷,127863,#e0c8c8
😅,128517,#e0c988
👳,128115,#e0d0a9
🐆,128006,#e0d2bf
🍧,127847,#e0d4d5
🍨,127848,#e0d7c9
🪝,129693,#e0d8c7
☺,9786,#e0e0e0
🌫,127787,#e0e0e4
🕊,128330,#e0e1db
🥄,129348,#e0e2e3
💍,128141,#e0e4e7
🌨,127784,#e0eaf2
🪛,129691,#e0eddd
💋,128139,#e19595
🥩,129385,#e1a49f
💘,128152,#e1a9d3
🍫,127851,#e1afac
🚩,128681,#e1b8b8
🌷,127799,#e1beb8
🕌,128332,#e1c3aa
🧏,129487,#e1ca92
📒,128210,#e1d070
🙅,128581,#e1d0a8
🐈,128008,#e1d3c7
🍢,127842,#e1d4c7
🐁,128001,#e1dede
🕴,128372,#e1dfdc
🎍,127885,#e1e1cc
↖,8598,#e1e1e1
🛁,128705,#e1e4e6
🧧,129511,#e28480
🎃,127875,#e2b160
🥫,129387,#e2beb8
🏜,127964,#e2c29d
🤓,129299,#e2c47b
🥹,129401,#e2c583
🫚,129754,#e2c7aa
🧥,129509,#e2cba2
📔,128212,#e2cca0
🍹,127865,#e2d5c2
🥕,129365,#e2d6bc
🪒,129682,#e2d6d1
🎷,127927,#e2d7b6
🏹,127993,#e2ddda
🏑,127953,#e2ded4
⛳,9971,#e2dfc2
🤳,129331,#e2dfd8
☃,9731,#e2e2e2
🏊,127946,#e2e4dc
🤩,129321,#e3c383
🐹,128057,#e3c3b8
🎅,127877,#e3c899
🗼,128508,#e3c9c7
🤣,129315,#e3cb87
😓,128531,#e3cf8b
🧁,129473,#e3d6ba
🍥,127845,#e3dbd7
📝,128221,#e3dccd
🏌,127948,#e3dfd4
🪕,129685,#e3e0d8
🇦,127462,#e3e3e3
🩸,129656,#e4a4a4
⛵,9973,#e4c4b0
😴,128564,#e4c67c
🥲,129394,#e4ce86
🙋,128587,#e4cf9c
🎂,127874,#e4dad1
🏸,127992,#e4ddcd
🦢,129442,#e4e2d9
🇿,127487,#e4e4e4
🩼,129660,#e4e5e5
🛀,128704,#e4e6df
📮,128238,#e59393
🍑,127825,#e5a786
🧠,129504,#e5b0c0
🧣,129507,#e5b2b1
🌶,127798,#e5b7b2
🤯,129327,#e5b970
🍊,127818,#e5bc90
🫦,129766,#e5bcc5
🏎,127950,#e5c3c4
🐷,128055,#e5c4bd
🏏,127951,#e5c8b0
👙,128089,#e5c8cc
🗂,128450,#e5c9ae
🫔,129748,#e5cea6
💁,128129,#e5d2a2
🪫,129707,#e5d3d3
🧝,129501,#e5dcb5
🫄,129732,#e5dcca
🌾,127806,#e5e1b2
🧖,129494,#e5e2c6
🔭,128301,#e5e4e4
☣,9763,#e5e5e5
🗯,128495,#e5e6e6
🗡,128481,#e5e6e8
🍕,127829,#e6b898
🍉,127817,#e6bcb5
👩,128105,#e6c16b
🎊,127882,#e6cac0
🤑,129297,#e6cc77
🥪,129386,#e6cea2
😪,128554,#e6cf85
🍻,127867,#e6d5bf
🪃,129667,#e6d7d1
🍛,127835,#e6dace
🦘,129432,#e6dbd0
🥛,129371,#e6e5e3
🐇,128007,#e6e5e5
⚪,9898,#e6e6e6
🪥,129701,#e6f3f8
🧲,129522,#e78c8c
🍟,127839,#e7a27c
🎀,127872,#e7a5bc
👘,128088,#e7b972
🥯,129391,#e7c8a7
🥺,129402,#e7cb87
🍝,127837,#e7d2bd
🍜,127836,#e7d7c8
🙏,128591,#e7d8b6
🤽,129341,#e7dbc0
🐓,128019,#e7dcd9
🧽,129533,#e7dd85
🤾,129342,#e7dfce
🦷,129463,#e7e0d4
🇹,127481,#e7e7e7
🦴,129460,#e7e8e8
💗,128151,#e895c1
🩳,129651,#e8af5b
🫨,129768,#e8c26e
😫,128555,#e8c677
🤪,129322,#e8c88f
🧓,129491,#e8c976
🧔,129492,#e8ca84
🎪,127914,#e8cac3
🤕,129301,#e8cd92
👱,128113,#e8d08b
💌,128140,#e8d0d0
🔱,128305,#e8d49f
🍮,127854,#e8d4c0
🤴,129332,#e8d59a
🤵,129333,#e8d5a6
🥢,129378,#e8dada
🎌,127884,#e8dddd
🪄,129668,#e8e5de
▪,9642,#e8e8e8
🎐,127888,#e8ecf1
🥵,129397,#e9ac7d
🦐,129424,#e9ac95
🥰,129392,#e9b46c
💄,128132,#e9c0be
📌,128204,#e9c1c2
💊,128138,#e9c497
🧒,129490,#e9c671
😩,128553,#e9c778
👵,128117,#e9c878
😃,128515,#e9c97e
👋,128075,#e9ca84
😳,128563,#e9ca8d
🛕,128725,#e9cdc0
👸,128120,#e9ce92
😥,128549,#e9d084
😷,128567,#e9d19b
💇,128135,#e9d4a2
🤶,129334,#e9d8bd
⛹,9977,#e9ddc4
🍼,127868,#e9e6d5
🚶,128694,#e9e6e3
🫗,129751,#e9e7e7
🍬,127852,#e9e8f0
◻,9723,#e9e9e9
🥼,129404,#e9eaeb
💉,128137,#e9ecee
🪽,129725,#e9eff1
🛑,128721,#ea8169
🍄,127812,#eaafa6
🖍,128397,#eac1c1
🫵,129781,#eac467
😵,128565,#eac876
😆,128518,#eaca7f
😄,128516,#eacb7f
🐔,128020,#eacfc1
🌼,127804,#ead078
😢,128546,#ead083
👏,128079,#ead299
🦻,129467,#ead6a5
🏅,127941,#eadac3
🧋,129483,#eaddd0
👡,128097,#eaded3
🧹,129529,#eae5da
🌦,127782,#eae7db
7,55,#eaeaea
🎧,127911,#eaebeb
💔,128148,#eb8e89
🚨,128680,#eba099
🟠,128992,#eba74d
🪱,129713,#ebbbbf
🏵,127989,#ebc070
🩰,129648,#ebcbbe
😀,128512,#ebcc80
🤐,129296,#ebcd81
😁,128513,#ebce86
🐱,128049,#ebd38a
🙌,128588,#ebd39d
🥟,129375,#ebd5b6
🦒,129426,#ebdac4
🪠,129696,#ebddd9
📩,128233,#ebdfdf
🍸,127864,#ebeae5
🤍,129293,#ebeaea
↕,8597,#ebebeb
🎟,127903,#ec9ca5
💢,128162,#eca7a7
🫁,129729,#ecb0ad
